tx_id,account_number,tx_date,description,amount
TXN001,ACC001,2024-08-01,Depósito inicial,5000.00
TXN002,ACC001,2024-08-03,Retiro ATM,-200.00
TXN003,ACC002,2024-08-01,Transferencia recibida,1500.00
TXN004,ACC002,2024-08-05,Pago de servicios,-180.50
TXN005,ACC003,2024-08-02,Depósito nómina,3500.00
TXN006,ACC003,2024-08-07,Compra en línea,-250.75
TXN007,ACC004,2024-08-01,Depósito,800.00
TXN008,ACC004,2024-08-04,Retiro,-120.00
TXN009,ACC005,2024-08-01,Depósito empresarial,15000.00
TXN010,ACC005,2024-08-06,Pago a proveedores,-2500.00
TXN011,ACC006,2024-08-02,Depósito,2200.00
TXN012,ACC006,2024-08-08,Transferencia,-350.00
TXN013,ACC007,2024-08-03,Depósito ATM,900.00
TXN014,ACC007,2024-08-09,Pago tarjeta,-450.25
TXN015,ACC008,2024-08-01,Depósito ahorro,4000.00
TXN016,ACC008,2024-08-05,Retiro,-150.00
TXN017,ACC009,2024-08-02,Ingresos comerciales,25000.00
TXN018,ACC009,2024-08-07,Gastos operativos,-3200.50
TXN019,ACC010,2024-08-04,Depósito,600.00
TXN020,ACC010,2024-08-10,Compra supermercado,-85.30
TXN021,ACC011,2024-08-01,Depósito nómina,3200.00
TXN022,ACC011,2024-08-06,Pago hipoteca,-1200.00
TXN023,ACC012,2024-08-03,Transferencia,750.00
TXN024,ACC012,2024-08-08,Pago servicios,-95.40
TXN025,ACC013,2024-08-02,Ingresos negocio,8500.00
TXN026,ACC013,2024-08-09,Compra equipo,-1800.00
TXN027,ACC014,2024-08-01,Depósito,1500.00
TXN028,ACC014,2024-08-05,Retiro ATM,-100.00
TXN029,ACC015,2024-08-04,Depósito,400.00
TXN030,ACC015,2024-08-10,Pago gasolina,-65.20
TXN031,ACC001,2024-08-11,Intereses ganados,25.50
TXN032,ACC002,2024-08-12,Cargo por servicio,-15.00
TXN033,ACC003,2024-08-13,Depósito adicional,1000.00
TXN034,ACC004,2024-08-14,Transferencia saliente,-300.00
TXN035,ACC005,2024-08-15,Pago de dividendos,5000.00
TXN036,ACC006,2024-08-16,Retiro autorizado,-500.00
TXN037,ACC007,2024-08-17,Depósito cheque,800.00
TXN038,ACC008,2024-08-18,Compra en tienda,-125.75
TXN039,ACC009,2024-08-11,Venta de productos,12000.00
TXN040,ACC010,2024-08-12,Pago telefónico,-45.60